winner,turns,largest_army,longest_road,points_0,points_1,points_2,points_3,smart,trial
,200,1.0,1.0,4,6,8,3,2,0
1.0,150,1.0,1.0,3,12,4,3,1,1
2.0,191,2.0,2.0,7,3,10,3,0,2
2.0,87,2.0,2.0,5,3,10,2,2,3
0.0,149,1.0,2.0,11,5,4,5,0,4
0.0,145,0.0,3.0,10,6,4,7,0,5
0.0,61,,0.0,10,2,2,6,0,6
1.0,142,1.0,0.0,6,10,3,9,0,7
0.0,97,,2.0,10,4,4,6,0,8
1.0,102,,1.0,3,10,2,4,1,9
3.0,116,1.0,3.0,2,7,7,10,2,10
1.0,166,0.0,1.0,7,10,5,7,3,11
1.0,82,,0.0,8,10,3,4,0,12
2.0,143,1.0,2.0,7,7,10,6,2,13
2.0,167,1.0,2.0,7,5,11,3,0,14
,200,,2.0,4,6,8,9,3,15
2.0,143,,2.0,6,3,10,2,2,16
3.0,160,2.0,3.0,3,2,9,10,0,17
0.0,97,,0.0,11,4,3,2,1,18
0.0,125,2.0,0.0,10,6,9,2,0,19
1.0,114,,1.0,5,10,2,7,1,20
0.0,105,,0.0,10,3,8,4,0,21
0.0,85,,0.0,10,4,6,3,2,22
0.0,105,,0.0,10,4,6,2,1,23
3.0,124,1.0,2.0,6,7,8,10,2,24
3.0,180,,3.0,7,7,2,10,1,25
3.0,68,,3.0,4,2,2,10,0,26
1.0,166,2.0,2.0,5,10,7,4,1,27
0.0,125,3.0,0.0,10,3,2,8,3,28
2.0,123,1.0,2.0,6,4,10,2,2,29
0.0,93,,2.0,10,4,4,3,2,30
3.0,156,2.0,3.0,2,3,9,10,1,31
3.0,100,3.0,3.0,4,5,3,10,1,32
3.0,148,,0.0,8,4,5,10,2,33
3.0,136,,0.0,7,2,7,10,2,34
0.0,129,3.0,0.0,10,4,2,7,0,35
1.0,114,,1.0,4,10,6,3,1,36
3.0,132,0.0,3.0,9,4,3,10,0,37
3.0,108,,3.0,8,2,2,10,0,38
2.0,83,,2.0,2,3,10,2,2,39
1.0,90,,1.0,2,11,4,2,2,40
1.0,114,,2.0,4,10,5,4,0,41
1.0,106,2.0,2.0,4,10,9,4,3,42
2.0,115,,2.0,4,8,11,4,1,43
0.0,117,,0.0,10,3,6,3,0,44
1.0,178,1.0,1.0,6,10,4,8,2,45
3.0,140,,3.0,2,3,9,10,3,46
0.0,141,,0.0,10,4,8,2,2,47
3.0,156,3.0,3.0,5,3,6,11,2,48
3.0,60,,,3,4,2,10,0,49
0.0,165,3.0,1.0,11,6,5,8,0,50
3.0,112,3.0,3.0,2,4,9,10,2,51
3.0,100,,3.0,7,4,6,10,0,52
1.0,110,,1.0,2,10,6,3,2,53
0.0,129,,0.0,11,3,2,5,3,54
2.0,183,2.0,3.0,3,5,10,7,3,55
3.0,192,3.0,3.0,5,6,8,10,0,56
1.0,118,,1.0,2,10,3,3,1,57
2.0,91,2.0,2.0,3,2,11,2,2,58
0.0,141,2.0,3.0,10,4,8,8,0,59
3.0,112,,3.0,3,6,2,10,1,60
3.0,120,0.0,1.0,7,4,7,10,2,61
2.0,71,,2.0,3,3,11,2,2,62
2.0,155,2.0,1.0,8,4,10,4,3,63
3.0,100,,3.0,2,2,2,11,3,64
2.0,167,,0.0,7,6,11,2,2,65
3.0,84,,3.0,3,6,2,13,1,66
2.0,123,3.0,1.0,3,8,10,5,1,67
1.0,74,,1.0,2,10,4,2,1,68
3.0,92,,3.0,3,5,3,10,3,69
2.0,103,,2.0,2,5,10,4,2,70
0.0,85,0.0,0.0,10,4,2,4,3,71
1.0,138,0.0,0.0,7,11,2,8,1,72
1.0,110,,1.0,3,10,3,4,1,73
1.0,110,,1.0,7,10,4,2,1,74
3.0,88,3.0,3.0,3,2,2,10,3,75
0.0,77,,3.0,10,2,3,7,1,76
2.0,135,1.0,2.0,4,9,10,3,1,77
2.0,111,2.0,2.0,4,2,10,5,3,78
0.0,117,2.0,0.0,10,6,6,4,0,79
3.0,156,3.0,3.0,5,3,8,11,2,80
1.0,150,,1.0,3,10,4,4,1,81
1.0,138,0.0,0.0,9,10,4,7,0,82
1.0,138,2.0,1.0,2,10,7,2,1,83
2.0,87,2.0,2.0,3,4,10,3,0,84
0.0,113,0.0,0.0,10,2,4,5,2,85
1.0,110,1.0,1.0,4,10,2,2,3,86
2.0,123,0.0,0.0,8,4,10,4,2,87
2.0,151,,0.0,8,8,10,3,1,88
1.0,130,1.0,1.0,2,10,7,4,2,89
2.0,115,,2.0,5,8,10,7,1,90
1.0,122,,0.0,5,11,3,5,1,91
0.0,89,,0.0,10,3,3,4,0,92
3.0,72,3.0,3.0,2,3,2,12,3,93
1.0,174,3.0,1.0,6,10,3,7,2,94
3.0,92,,3.0,4,7,4,10,1,95
3.0,132,,0.0,7,4,3,10,0,96
0.0,109,,0.0,10,3,2,2,0,97
,200,1.0,2.0,6,9,9,5,1,98
3.0,100,,3.0,2,3,2,10,3,99
3.0,84,,3.0,3,4,3,10,3,100
3.0,144,3.0,3.0,5,4,2,10,3,101
1.0,102,1.0,3.0,4,10,5,7,3,102
1.0,134,1.0,3.0,7,10,2,9,0,103
0.0,125,0.0,0.0,10,3,3,4,0,104
2.0,167,1.0,1.0,6,9,10,2,3,105
2.0,131,2.0,2.0,8,3,10,4,0,106
3.0,132,,3.0,2,6,4,10,0,107
2.0,135,1.0,2.0,2,7,10,4,1,108
2.0,199,3.0,2.0,3,7,10,8,1,109
1.0,94,,1.0,5,10,3,3,1,110
0.0,113,,0.0,10,5,3,8,3,111
0.0,85,,0.0,10,5,4,2,0,112
3.0,96,,2.0,3,4,4,10,3,113
0.0,125,,0.0,11,3,6,6,0,114
0.0,141,,0.0,10,6,3,6,0,115
,200,0.0,3.0,8,7,5,6,1,116
1.0,142,,1.0,5,10,4,4,3,117
0.0,125,,2.0,10,2,6,9,3,118
0.0,125,3.0,0.0,10,5,4,8,0,119
2.0,195,2.0,3.0,5,2,10,9,3,120
3.0,124,,3.0,3,2,2,10,3,121
3.0,80,,3.0,2,3,3,10,3,122
1.0,90,3.0,1.0,4,10,2,6,1,123
0.0,73,,0.0,11,2,3,3,0,124
0.0,133,,0.0,10,2,2,4,0,125
2.0,111,,1.0,4,9,11,2,2,126
0.0,129,,0.0,10,5,2,4,0,127
2.0,159,2.0,0.0,4,2,11,5,2,128
,200,,0.0,9,9,2,4,1,129
1.0,102,1.0,0.0,8,10,6,2,1,130
0.0,141,0.0,0.0,10,3,2,6,2,131
1.0,86,,1.0,4,10,2,4,0,132
0.0,153,,0.0,11,2,8,7,2,133
1.0,90,1.0,1.0,4,11,6,3,2,134
2.0,59,2.0,2.0,3,3,10,2,2,135
0.0,97,3.0,0.0,10,2,2,8,1,136
2.0,159,2.0,2.0,9,4,10,4,0,137
1.0,122,1.0,1.0,3,10,8,2,2,138
2.0,139,2.0,0.0,9,3,10,3,0,139
3.0,124,3.0,3.0,4,5,2,11,1,140
2.0,99,2.0,2.0,5,2,10,2,2,141
1.0,166,1.0,1.0,2,10,5,6,3,142
0.0,177,,0.0,11,7,4,5,1,143
3.0,80,3.0,3.0,3,4,4,11,3,144
2.0,199,2.0,1.0,8,9,10,7,3,145
3.0,108,,3.0,2,4,4,10,3,146
2.0,127,2.0,1.0,7,7,10,3,1,147
3.0,156,3.0,3.0,2,3,8,10,2,148
2.0,191,2.0,2.0,2,4,10,4,1,149
1.0,166,3.0,1.0,2,10,5,8,2,150
2.0,167,0.0,2.0,5,8,10,7,2,151
1.0,126,1.0,0.0,5,10,4,4,0,152
3.0,144,,3.0,6,5,4,10,1,153
0.0,105,0.0,0.0,10,2,5,4,0,154
1.0,90,1.0,1.0,5,10,6,2,0,155
1.0,114,,3.0,3,10,3,9,3,156
,200,3.0,0.0,6,2,5,6,2,157
2.0,47,,2.0,2,2,10,3,2,158
2.0,87,2.0,2.0,4,2,10,2,0,159
1.0,70,,1.0,3,11,2,3,1,160
3.0,104,,3.0,6,4,5,10,3,161
1.0,114,,1.0,5,10,4,3,0,162
3.0,128,3.0,1.0,4,8,3,10,1,163
0.0,93,2.0,0.0,10,2,5,5,3,164
3.0,152,,1.0,3,4,8,11,3,165
0.0,113,,0.0,10,3,3,3,1,166
2.0,91,,2.0,2,4,10,4,2,167
1.0,118,,1.0,2,10,2,2,1,168
0.0,97,0.0,0.0,10,4,3,4,3,169
1.0,126,2.0,1.0,2,10,6,3,0,170
3.0,136,2.0,3.0,6,4,9,10,1,171
2.0,139,0.0,1.0,7,7,10,4,3,172
0.0,77,,0.0,10,2,2,4,0,173
2.0,87,,2.0,4,5,10,3,2,174
2.0,155,,0.0,7,9,11,3,0,175
2.0,155,,3.0,6,6,10,7,2,176
3.0,176,3.0,3.0,6,3,4,10,0,177
0.0,113,0.0,0.0,10,2,3,4,2,178
0.0,133,,0.0,10,3,4,2,0,179
2.0,171,,2.0,3,6,10,4,3,180
3.0,132,,3.0,6,5,4,10,1,181
,200,0.0,0.0,9,3,5,8,3,182
2.0,99,0.0,2.0,9,2,10,4,2,183
2.0,163,3.0,0.0,7,6,10,6,2,184
1.0,158,,1.0,5,10,5,4,0,185
,200,2.0,0.0,7,7,9,2,0,186
3.0,116,,3.0,6,5,2,11,1,187
0.0,125,0.0,1.0,10,7,6,3,1,188
3.0,72,,1.0,4,4,2,10,3,189
0.0,169,1.0,0.0,10,8,4,6,0,190
,200,0.0,3.0,9,8,6,8,1,191
3.0,168,3.0,2.0,3,7,9,10,1,192
,200,1.0,2.0,9,6,9,8,0,193
3.0,120,2.0,1.0,2,7,4,10,1,194
0.0,117,0.0,0.0,10,4,3,4,1,195
1.0,118,1.0,3.0,4,10,3,8,3,196
3.0,116,,3.0,3,4,3,10,1,197
0.0,149,,0.0,11,5,4,4,0,198
,200,2.0,0.0,4,3,4,4,3,199
1.0,154,,1.0,2,10,6,8,1,200
1.0,70,,1.0,2,10,3,4,0,201
2.0,91,,2.0,2,2,10,6,2,202
0.0,129,,1.0,10,7,4,6,0,203
2.0,131,,2.0,7,5,10,9,2,204
3.0,116,,3.0,7,6,4,11,1,205
0.0,105,0.0,0.0,10,2,5,2,2,206
,200,,1.0,4,4,5,8,3,207
0.0,161,0.0,1.0,10,6,5,5,1,208
0.0,193,,0.0,10,4,7,7,2,209
0.0,149,,0.0,10,3,6,2,2,210
3.0,152,3.0,0.0,5,2,5,10,2,211
1.0,138,,2.0,4,10,7,2,2,212
1.0,138,1.0,2.0,2,11,8,5,2,213
0.0,153,1.0,1.0,10,9,3,3,0,214
0.0,89,,0.0,10,2,2,3,0,215
3.0,144,3.0,3.0,2,3,5,11,3,216
2.0,95,,2.0,2,6,10,3,1,217
2.0,71,0.0,2.0,8,2,10,2,2,218
2.0,147,2.0,,3,2,10,2,0,219
2.0,123,2.0,0.0,7,2,10,3,0,220
0.0,97,0.0,0.0,10,2,2,5,0,221
0.0,141,1.0,0.0,10,7,9,5,0,222
3.0,144,,0.0,8,2,6,10,0,223
2.0,135,,2.0,4,4,10,7,3,224
0.0,97,,0.0,10,2,4,3,2,225
0.0,181,,0.0,10,3,4,2,0,226
3.0,68,,3.0,4,4,3,10,0,227
2.0,131,0.0,2.0,9,4,10,4,2,228
3.0,156,3.0,2.0,7,4,7,10,2,229
0.0,129,,0.0,10,4,6,4,2,230
3.0,160,,3.0,7,8,2,10,3,231
0.0,101,,0.0,10,4,4,2,0,232
3.0,148,,3.0,5,7,3,10,3,233
3.0,148,,3.0,3,6,3,10,1,234
2.0,119,,2.0,7,3,10,3,2,235
3.0,164,,3.0,7,6,2,10,3,236
3.0,168,,3.0,3,4,5,10,2,237
3.0,124,,3.0,3,6,2,10,1,238
0.0,129,2.0,0.0,10,3,7,6,3,239
1.0,130,1.0,3.0,2,10,2,7,2,240
0.0,93,,0.0,12,4,3,2,0,241
0.0,105,,0.0,11,2,2,6,0,242
3.0,136,,3.0,4,7,4,10,3,243
2.0,91,,0.0,5,2,10,2,0,244
3.0,124,,2.0,5,4,7,10,1,245
,200,0.0,0.0,8,2,7,6,3,246
,200,1.0,2.0,5,6,4,4,0,247
1.0,102,,1.0,2,10,3,5,1,248
3.0,112,,2.0,3,2,5,11,3,249
1.0,110,1.0,1.0,4,10,3,2,2,250
3.0,100,3.0,3.0,2,6,2,10,3,251
0.0,121,,2.0,10,4,7,5,2,252
3.0,176,,0.0,5,4,4,10,1,253
1.0,66,,1.0,3,10,4,4,2,254
,200,,,5,4,2,2,1,255
0.0,157,,1.0,10,9,8,4,0,256
2.0,63,,2.0,2,3,11,4,0,257
2.0,167,2.0,3.0,4,4,10,8,1,258
0.0,173,2.0,0.0,10,3,9,5,0,259
,200,,3.0,6,2,2,6,3,260
2.0,79,2.0,2.0,5,4,10,2,3,261
2.0,103,,2.0,2,4,10,2,2,262
3.0,120,,2.0,4,6,5,10,1,263
0.0,177,2.0,0.0,10,4,7,3,3,264
,200,1.0,3.0,5,8,7,7,2,265
0.0,109,3.0,0.0,10,3,4,6,0,266
1.0,86,1.0,1.0,5,10,4,2,1,267
2.0,179,,2.0,5,6,10,6,2,268
1.0,134,0.0,1.0,7,11,6,4,2,269
3.0,52,3.0,1.0,2,6,2,10,1,270
1.0,106,,1.0,2,10,3,6,1,271
,200,2.0,0.0,7,8,8,3,1,272
2.0,91,,3.0,4,2,10,4,2,273
2.0,147,0.0,3.0,6,8,10,9,2,274
3.0,68,,2.0,2,2,4,10,3,275
0.0,189,0.0,0.0,10,2,5,4,3,276
1.0,130,1.0,2.0,5,10,9,3,0,277
,200,,0.0,6,6,6,6,2,278
,200,1.0,0.0,7,9,3,8,0,279
,200,2.0,0.0,9,3,8,9,0,280
1.0,134,,3.0,5,10,4,6,1,281
3.0,68,,3.0,4,2,3,10,3,282
3.0,192,0.0,3.0,7,6,5,10,1,283
,200,0.0,0.0,9,8,4,6,2,284
2.0,63,2.0,1.0,3,8,10,2,1,285
3.0,100,1.0,3.0,2,9,2,10,3,286
,200,3.0,3.0,6,4,4,7,0,287
3.0,192,2.0,3.0,2,4,8,10,3,288
1.0,106,,1.0,4,10,3,3,1,289
1.0,170,,1.0,2,10,5,4,1,290
1.0,142,,0.0,4,10,6,4,2,291
3.0,140,3.0,1.0,6,7,9,10,2,292
3.0,128,3.0,2.0,3,5,5,10,1,293
2.0,75,2.0,2.0,2,4,10,2,3,294
1.0,138,2.0,0.0,9,10,6,3,0,295
,200,3.0,2.0,5,3,8,9,2,296
2.0,91,0.0,2.0,4,3,10,2,2,297
,200,0.0,3.0,8,8,6,4,2,298
0.0,137,3.0,0.0,10,2,3,9,2,299
3.0,76,,3.0,3,2,4,10,3,300
0.0,101,0.0,0.0,13,3,2,4,0,301
,200,3.0,3.0,3,5,3,6,2,302
1.0,174,,0.0,6,10,4,3,1,303
0.0,109,,3.0,10,2,5,8,2,304
0.0,117,0.0,1.0,10,7,2,6,1,305
,200,,1.0,4,8,6,5,2,306
1.0,138,,1.0,8,11,7,4,1,307
1.0,162,1.0,1.0,2,10,6,6,2,308
3.0,88,,2.0,3,2,6,10,1,309
3.0,104,3.0,3.0,5,2,4,10,0,310
0.0,137,0.0,0.0,10,3,6,3,0,311
1.0,134,,1.0,3,10,9,3,1,312
1.0,114,1.0,1.0,4,10,2,2,3,313
1.0,146,1.0,1.0,4,12,3,7,3,314
1.0,90,,1.0,3,10,2,2,2,315
2.0,131,,2.0,3,3,11,2,0,316
2.0,99,,1.0,4,5,10,3,0,317
1.0,138,0.0,1.0,9,10,4,9,1,318
3.0,108,,3.0,4,6,2,10,3,319
0.0,113,,2.0,10,3,9,5,1,320
3.0,140,,0.0,8,4,5,10,3,321
,200,3.0,2.0,5,2,7,9,1,322
2.0,151,2.0,2.0,4,4,11,4,0,323
3.0,136,,0.0,4,4,4,12,3,324
3.0,148,3.0,2.0,4,3,9,10,2,325
,200,0.0,0.0,9,3,8,6,3,326
1.0,118,,1.0,2,13,2,3,3,327
2.0,151,,1.0,8,5,10,2,0,328
2.0,163,3.0,2.0,6,4,11,8,2,329
0.0,125,,0.0,10,3,5,6,3,330
2.0,71,3.0,2.0,2,2,10,5,2,331
2.0,135,,1.0,3,9,10,3,2,332
2.0,131,2.0,2.0,3,6,10,2,1,333
2.0,159,1.0,2.0,5,7,10,2,2,334
3.0,112,2.0,3.0,3,4,6,10,2,335
0.0,149,2.0,2.0,10,3,6,8,3,336
3.0,132,,3.0,2,4,5,11,3,337
0.0,153,,0.0,10,3,4,5,0,338
,200,3.0,1.0,3,8,3,6,1,339
,200,1.0,3.0,7,7,2,7,3,340
2.0,147,,2.0,2,2,10,3,2,341
2.0,163,2.0,1.0,7,9,10,2,2,342
0.0,141,0.0,0.0,10,4,2,8,3,343
1.0,138,,1.0,2,11,5,4,2,344
3.0,116,1.0,3.0,7,8,3,12,3,345
2.0,79,0.0,2.0,5,4,10,4,2,346
3.0,160,3.0,3.0,7,3,4,10,2,347
,200,2.0,1.0,6,8,6,4,1,348
3.0,144,0.0,3.0,9,2,4,10,3,349
3.0,164,,2.0,7,7,7,11,2,350
3.0,96,2.0,3.0,3,3,8,11,3,351
2.0,127,2.0,3.0,4,6,10,8,2,352
1.0,46,,1.0,2,10,2,3,3,353
2.0,135,2.0,2.0,4,3,10,2,0,354
0.0,113,0.0,0.0,10,4,2,4,0,355
,200,,0.0,7,4,2,5,3,356
2.0,75,2.0,2.0,2,5,10,3,2,357
0.0,113,,0.0,10,4,3,2,0,358
3.0,168,3.0,2.0,4,6,7,10,3,359
3.0,120,3.0,1.0,7,6,2,10,3,360
0.0,89,,0.0,10,2,6,4,2,361
,200,1.0,1.0,6,9,4,7,1,362
2.0,67,,,3,3,10,2,2,363
1.0,122,0.0,1.0,7,10,4,5,2,364
,200,2.0,,6,2,5,2,0,365
2.0,79,,2.0,4,3,10,2,2,366
0.0,89,0.0,0.0,11,3,4,4,1,367
1.0,158,1.0,2.0,7,10,4,9,3,368
2.0,91,2.0,2.0,2,4,10,2,2,369
1.0,74,,1.0,3,10,2,6,1,370
,200,,0.0,6,2,2,2,0,371
0.0,73,0.0,2.0,11,3,6,2,2,372
3.0,164,,0.0,8,3,9,10,2,373
3.0,168,3.0,0.0,6,3,9,10,0,374
2.0,127,,2.0,2,9,10,6,2,375
0.0,145,,0.0,10,4,5,7,1,376
3.0,104,,3.0,6,2,5,10,0,377
3.0,144,,0.0,7,9,5,10,3,378
1.0,62,,1.0,3,10,7,4,2,379
2.0,199,2.0,3.0,4,5,10,7,2,380
3.0,120,,3.0,6,4,3,11,3,381
2.0,163,,2.0,2,5,10,2,2,382
2.0,103,0.0,0.0,8,2,10,2,3,383
2.0,127,1.0,2.0,3,6,10,4,2,384
2.0,135,2.0,2.0,3,4,10,5,0,385
2.0,91,1.0,0.0,5,6,10,5,1,386
0.0,113,3.0,0.0,10,5,4,8,0,387
0.0,141,0.0,0.0,10,3,6,3,2,388
1.0,166,2.0,1.0,4,10,5,6,3,389
2.0,163,1.0,1.0,2,9,11,7,2,390
0.0,137,,0.0,11,4,6,2,0,391
1.0,102,,1.0,9,10,2,4,1,392
0.0,85,,1.0,10,8,3,6,1,393
3.0,124,3.0,3.0,5,3,6,11,0,394
2.0,55,,2.0,2,3,10,3,3,395
0.0,141,,0.0,10,4,3,4,2,396
1.0,102,1.0,0.0,6,10,3,3,2,397
1.0,158,0.0,3.0,9,10,7,7,3,398
2.0,103,2.0,2.0,7,2,10,4,0,399
1.0,130,,3.0,5,10,4,6,0,400
0.0,145,,0.0,10,6,2,3,1,401
1.0,118,,0.0,8,10,2,7,3,402
3.0,100,,3.0,4,2,3,10,0,403
2.0,143,2.0,2.0,5,7,11,5,0,404
3.0,128,,3.0,4,4,4,10,3,405
3.0,120,2.0,1.0,2,9,4,10,1,406
1.0,78,,1.0,5,10,2,2,1,407
3.0,92,,3.0,3,6,2,10,3,408
1.0,114,0.0,1.0,5,10,4,4,1,409
2.0,59,2.0,2.0,3,2,10,4,3,410
,200,2.0,0.0,8,6,9,7,0,411
2.0,119,2.0,2.0,3,2,11,8,3,412
1.0,82,1.0,1.0,7,10,3,3,2,413
2.0,155,,2.0,3,6,11,6,3,414
,200,,1.0,4,4,7,6,3,415
0.0,121,,1.0,10,9,7,4,2,416
,200,,2.0,6,6,7,9,3,417
0.0,129,0.0,0.0,11,8,2,4,1,418
3.0,112,,3.0,3,5,2,10,3,419
1.0,106,2.0,1.0,3,11,9,4,3,420
3.0,104,3.0,3.0,6,3,2,13,1,421
3.0,144,,3.0,2,5,4,10,3,422
3.0,124,,3.0,2,3,6,10,3,423
,200,0.0,2.0,8,4,8,6,2,424
3.0,152,3.0,3.0,3,6,4,10,2,425
1.0,54,,1.0,2,10,4,3,1,426
3.0,116,,3.0,2,3,6,10,3,427
0.0,157,,3.0,10,5,6,8,3,428
3.0,112,,3.0,3,3,2,10,3,429
3.0,92,,3.0,3,3,2,10,3,430
0.0,121,,0.0,11,4,2,5,0,431
,200,,0.0,9,4,2,4,0,432
1.0,102,,1.0,3,10,2,2,1,433
2.0,75,,2.0,4,5,10,3,2,434
0.0,97,0.0,0.0,12,2,6,2,2,435
0.0,113,,0.0,10,4,3,7,3,436
2.0,83,,2.0,4,5,10,4,2,437
2.0,107,,1.0,2,7,10,2,2,438
2.0,99,,1.0,5,5,10,3,1,439
2.0,123,0.0,1.0,7,4,10,2,2,440
1.0,98,,1.0,3,11,4,4,1,441
,200,,3.0,3,2,5,7,3,442
1.0,194,1.0,3.0,6,10,4,9,3,443
0.0,117,0.0,1.0,10,7,2,2,1,444
1.0,146,,1.0,3,10,2,2,1,445
0.0,193,1.0,0.0,10,7,8,8,2,446
2.0,71,,3.0,2,2,10,4,3,447
2.0,143,0.0,1.0,6,6,10,6,2,448
1.0,86,,1.0,2,10,2,3,1,449
0.0,193,0.0,3.0,10,5,4,9,3,450
0.0,173,0.0,2.0,11,4,7,4,1,451
0.0,141,0.0,0.0,10,4,4,2,2,452
2.0,155,,1.0,7,8,10,7,3,453
0.0,177,3.0,0.0,10,4,4,5,0,454
2.0,103,2.0,2.0,3,6,10,2,1,455
3.0,124,,3.0,3,3,2,10,3,456
1.0,66,1.0,0.0,5,10,3,2,1,457
2.0,155,2.0,2.0,6,2,10,8,0,458
1.0,134,,1.0,2,10,6,2,1,459
3.0,168,3.0,2.0,2,4,8,11,1,460
1.0,78,1.0,1.0,3,10,7,4,2,461
3.0,68,,3.0,2,2,4,10,2,462
3.0,104,,0.0,5,5,2,10,1,463
1.0,170,,1.0,5,10,3,5,1,464
0.0,173,,0.0,10,2,3,5,0,465
3.0,112,,3.0,3,2,4,11,3,466
,200,0.0,2.0,5,4,9,6,2,467
0.0,157,,2.0,10,3,5,5,2,468
2.0,131,,2.0,5,2,10,2,0,469
0.0,105,,1.0,10,6,2,3,0,470
,200,1.0,2.0,4,6,8,8,3,471
0.0,133,,0.0,10,3,3,4,0,472
3.0,80,3.0,3.0,3,2,3,10,1,473
,200,,0.0,6,4,7,5,0,474
1.0,94,,1.0,2,10,2,2,1,475
3.0,136,,0.0,5,4,5,10,2,476
3.0,172,2.0,3.0,3,6,9,10,1,477
3.0,124,1.0,3.0,2,7,2,10,0,478
0.0,169,2.0,2.0,10,3,9,6,0,479
1.0,154,3.0,1.0,2,10,4,7,1,480
1.0,142,0.0,1.0,7,10,6,4,2,481
2.0,139,,2.0,2,3,10,6,2,482
0.0,129,,0.0,10,4,2,2,1,483
1.0,178,,2.0,4,10,7,2,1,484
3.0,144,,3.0,3,4,6,10,3,485
2.0,139,,2.0,2,7,10,4,2,486
3.0,148,,3.0,2,5,2,10,3,487
2.0,87,,2.0,2,2,10,6,2,488
2.0,159,2.0,0.0,7,6,12,3,0,489
1.0,174,1.0,2.0,8,12,5,6,0,490
3.0,84,3.0,3.0,2,2,3,10,2,491
0.0,137,,0.0,10,3,2,6,0,492
0.0,149,0.0,0.0,11,3,4,5,2,493
2.0,155,,2.0,5,3,10,3,2,494
3.0,152,,3.0,2,4,2,11,3,495
1.0,186,2.0,1.0,3,11,5,5,1,496
1.0,110,3.0,0.0,8,10,2,7,0,497
2.0,119,2.0,3.0,8,4,10,7,2,498
1.0,106,,1.0,2,11,2,4,1,499
2.0,135,,2.0,2,3,10,2,2,500
0.0,153,,0.0,10,4,4,2,0,501
0.0,125,,0.0,11,3,4,5,0,502
1.0,170,,3.0,2,10,5,9,3,503
2.0,75,,2.0,2,4,11,3,2,504
3.0,132,,3.0,2,3,2,11,3,505
3.0,124,3.0,3.0,3,2,4,10,3,506
,200,,0.0,5,7,4,4,0,507
,200,,3.0,4,5,2,5,1,508
0.0,125,0.0,0.0,11,4,3,4,3,509
